Rank,State (S) / Union territory (UT),Area (km2),Region,National Share (%),Country of comparable size (land mass)
1 (S1),Rajasthan,"342,239",Northern,10.42, Germany
2 (S2),Madhya Pradesh,"308,252",Central,9.37, Oman
3 (S3),Maharashtra,"307,713",Western,9.36, Italy
4 (S4),Uttar Pradesh,"240,928",Northern,7.33, United Kingdom
5 (S5),Gujarat,"196,024",Western,5.96, Senegal
6 (S6),Karnataka,"191,791",Southern,5.83, Syria
8 (S7),Andhra Pradesh,"160,205",Southern,4.87, Tunisia
9 (S8),Odisha,"155,707",Eastern,4.73, Bangladesh
10 (S9),Chhattisgarh,"135,191",Central,4.11, Greece
11 (S10),Tamil Nadu,"130,058",Southern,3.95, Greece
12 (S11),Telangana,"112,077",Southern,3.49, Honduras
7 (UT1),Ladakh,"96,702",Northern,1.80, Cambodia
13 (S12),Bihar,"94,163",Eastern,2.86, Hungary
14 (S13),West Bengal,"88,752",Eastern,2.70, Serbia
15 (S14),Arunachal Pradesh,"83,743",Northeastern,2.54, Austria
16 (S15),Jharkhand,"79,714",Eastern,2.42, Czech Republic
17 (S16),Assam,"78,438",Northeastern,2.38, Scotland
18 (S17),Himachal Pradesh,"55,673",Northern,1.70, Croatia
20 (S18),Uttarakhand,"53,483",Northern,1.62, Bosnia and Herzegovina
21 (S19),Punjab,"50,362",Northern,1.53, Slovakia
22 (S20),Haryana,"44,212",Northern,1.34, Denmark
19 (UT2),Jammu and Kashmir,"42,241",Northern,1.70, Croatia
23 (S21),Kerala,"38,863",Southern,1.18, Bhutan
24 (S22),Meghalaya,"22,429",Northeastern,0.68, Belize
25 (S23),Manipur,"22,327",Northeastern,0.68, Slovenia
26 (S24),Mizoram,"21,081",Northeastern,0.64, El Salvador
27 (S25),Nagaland,"16,579",Northeastern,0.50, Eswatini
28 (S26),Tripura,"10,486",Northeastern,0.31, Lebanon
29 (UT3),Andaman and Nicobar Islands,"8,249",Bay of Bengal,0.25, Puerto Rico
30 (S27),Sikkim,"7,096",Northeastern,0.21, Cyprus
31 (S28),Goa,"3,702",Western,0.11, French Polynesia
32 (UT4),NCT Delhi,"1,483",Northern,0.04, Faroe Islands
33 (UT5),Dadra and Nagar Haveli and Daman and Diu,603,Western,0.01, Saint Lucia
34 (UT6),Puducherry,479,Southern,0.01, Andorra
35 (UT7),Chandigarh,114,Northern,0.003, Wallis and Futuna
36 (UT8),Lakshadweep,32,Arabian Sea,0.001, Macau
Total,India,"3,287,263[a]",,100,
